judet,tip,localitate,n_locuinte,n_pad,coverage_rate,predicted_coverage_rate,current_premium_eur,opportunity_eur,addressable_market_eur,tsi_actual,tsi_predicted,pred_lower,pred_upper,accumulation_index
Brasov,1. MUNICIPIU,FAGARAS,15357,3946,0.2570,0.3230,78920.0000,20275.4151,307140.0000,78920000.0000,99195415.1235,0.2563,0.3203,7801424.5382
Ilfov,2. ORAS,BUFTEA,8398,2146,0.2555,0.3741,42920.0000,19909.1519,167960.0000,42920000.0000,62829151.8694,0.2642,0.4546,1090084.3763
Hunedoara,1. MUNICIPIU,HUNEDOARA,29338,6919,0.2358,0.2684,138380.0000,19091.1858,586760.0000,138380000.0000,157471185.8196,0.2423,0.3143,12981157.7664
Maramures,1. MUNICIPIU,BAIA MARE,58365,15913,0.2726,0.2889,318260.0000,18961.4517,1167300.0000,318260000.0000,337221451.7201,0.2638,0.3227,0.0000
Iasi,3. COMUNA,BELCESTI,4853,179,0.0369,0.2321,3580.0000,18944.0290,97060.0000,3580000.0000,22524028.9919,0.0402,0.2475,3344999.0517
Ilfov,3. COMUNA,DOBROESTI,10354,4811,0.4647,0.5493,96220.0000,17523.8951,207080.0000,96220000.0000,113743895.1489,0.4701,0.6011,1973454.0307
Mehedinti,1. MUNICIPIU,DROBETA-TURNU SEVERIN,41519,10399,0.2505,0.2709,207980.0000,16950.8930,830380.0000,207980000.0000,224930893.0016,0.2389,0.2924,75588456.7629
Alba,2. ORAS,CUGIR,11390,2433,0.2136,0.2870,48660.0000,16718.4798,227800.0000,48660000.0000,65378479.8273,0.2169,0.3321,0.0000
Dolj,1. MUNICIPIU,CRAIOVA,123985,38200,0.3081,0.3146,764000.0000,16147.7863,2479700.0000,764000000.0000,780147786.2565,0.2988,0.3661,215101830.9559
Galati,1. MUNICIPIU,TECUCI,16135,3809,0.2361,0.2860,76180.0000,16106.7678,322700.0000,76180000.0000,92286767.7988,0.2402,0.3005,15810.6841
